iter	Passed	Remaining
0	116	69565
1	183	54801
2	250	49897
3	318	47412
4	385	45880
5	455	45109
6	522	44303
7	590	43697
8	657	43177
9	724	42764
10	792	42429
11	860	42144
12	927	41872
13	994	41647
14	1064	41520
15	1134	41420
16	1202	41235
17	1269	41059
18	1337	40891
19	1404	40736
20	1472	40590
21	1539	40449
22	1607	40315
23	1675	40204
24	1744	40132
25	1815	40074
26	1882	39955
27	1950	39837
28	2017	39723
29	2087	39666
30	2157	39600
31	2225	39497
32	2292	39389
33	2362	39324
34	2431	39258
35	2500	39167
36	2569	39105
37	2637	39003
38	2707	38944
39	2774	38846
40	2842	38752
41	2910	38662
42	2979	38593
43	3047	38510
44	3114	38417
45	3182	38327
46	3250	38244
47	3317	38148
48	3384	38055
49	3451	37965
50	3519	37883
51	3586	37795
52	3656	37734
53	3725	37668
54	3793	37590
55	3863	37531
56	3931	37452
57	3999	37374
58	4068	37309
59	4136	37224
60	4203	37140
61	4270	37060
62	4339	36991
63	4408	36919
64	4478	36859
65	4546	36783
66	4616	36722
67	4683	36640
68	4750	36558
69	4820	36497
70	4888	36420
71	4955	36343
72	5023	36262
73	5090	36182
74	5157	36104
75	5227	36038
76	5297	35980
77	5366	35917
78	5434	35841
79	5505	35782
80	5572	35705
81	5640	35632
82	5708	35555
83	5778	35494
84	5845	35419
85	5915	35357
86	5983	35279
87	6050	35203
88	6117	35126
89	6185	35049
90	6255	34989
91	6325	34928
92	6393	34852
93	6460	34774
94	6527	34700
95	6595	34626
96	6665	34563
97	6733	34490
98	6802	34427
99	6871	34355
100	6938	34279
101	7008	34215
102	7074	34138
103	7142	34063
104	7209	33985
105	7276	33911
106	7346	33848
107	7414	33775
108	7481	33701
109	7551	33638
110	7619	33568
111	7687	33495
112	7754	33420
113	7822	33347
114	7889	33273
115	7957	33200
116	8024	33127
117	8091	33050
118	8158	32978
119	8226	32904
120	8293	32829
121	8362	32764
122	8432	32702
123	8500	32630
124	8567	32555
125	8634	32482
126	8702	32411
127	8771	32345
128	8838	32272
129	8905	32196
130	8972	32123
131	9042	32061
132	9110	31989
133	9180	31925
134	9248	31855
135	9315	31783
136	9383	31711
137	9450	31637
138	9520	31575
139	9592	31516
140	9659	31445
141	9730	31384
142	9798	31313
143	9866	31243
144	9934	31174
145	10003	31106
146	10070	31033
147	10138	30964
148	10207	30896
149	10275	30826
150	10343	30755
151	10411	30685
152	10478	30612
153	10546	30542
154	10616	30479
155	10683	30407
156	10751	30336
157	10819	30266
158	10886	30194
159	10953	30122
160	11020	30049
161	11088	29979
162	11155	29907
163	11225	29842
164	11292	29770
165	11359	29699
166	11429	29635
167	11499	29571
168	11567	29500
169	11634	29429
170	11702	29358
171	11769	29286
172	11836	29215
173	11903	29144
174	11971	29074
175	12038	29002
176	12106	28931
177	12173	28859
178	12240	28788
179	12307	28717
180	12374	28646
181	12442	28576
182	12509	28506
183	12577	28435
184	12647	28372
185	12717	28306
186	12784	28236
187	12852	28165
188	12919	28095
189	12987	28025
190	13056	27959
191	13124	27889
192	13194	27824
193	13261	27752
194	13328	27681
195	13395	27611
196	13462	27540
197	13529	27469
198	13596	27398
199	13664	27328
200	13734	27263
201	13804	27199
202	13872	27129
203	13939	27058
204	14006	26987
205	14073	26917
206	14141	26849
207	14212	26784
208	14279	26714
209	14347	26644
210	14414	26574
211	14481	26504
212	14548	26433
213	14617	26366
214	14688	26301
215	14754	26231
216	14824	26164
217	14891	26094
218	14958	26023
219	15025	25953
220	15093	25883
221	15163	25818
222	15230	25748
223	15298	25679
224	15367	25612
225	15436	25545
226	15504	25476
227	15572	25407
228	15640	25338
229	15708	25269
230	15775	25200
231	15843	25130
232	15911	25061
233	15978	24991
234	16048	24925
235	16118	24860
236	16186	24791
237	16253	24722
238	16321	24653
239	16389	24584
240	16456	24514
241	16524	24444
242	16591	24375
243	16658	24305
244	16725	24235
245	16792	24165
246	16860	24095
247	16927	24025
248	16995	23956
249	17064	23890
250	17132	23821
251	17202	23755
252	17270	23686
253	17341	23622
254	17408	23552
255	17475	23482
256	17544	23415
257	17612	23346
258	17679	23276
259	17746	23206
260	17813	23137
261	17881	23068
262	17948	22998
263	18019	22933
264	18089	22868
265	18157	22798
266	18226	22732
267	18294	22662
268	18361	22593
269	18431	22526
270	18499	22458
271	18566	22389
272	18636	22322
273	18703	22252
274	18770	22183
275	18837	22113
276	18907	22047
277	18974	21978
278	19042	21909
279	19109	21839
280	19177	21770
281	19247	21704
282	19317	21638
283	19384	21568
284	19451	21499
285	19519	21430
286	19586	21360
287	19653	21291
288	19723	21225
289	19793	21158
290	19860	21089
291	19928	21020
292	19995	20950
293	20062	20881
294	20129	20812
295	20197	20743
296	20266	20676
297	20334	20607
298	20401	20538
299	20468	20468
300	20536	20400
301	20606	20333
302	20673	20264
303	20740	20194
304	20810	20127
305	20880	20061
306	20949	19994
307	21016	19925
308	21083	19855
309	21151	19786
310	21218	19717
311	21286	19649
312	21354	19581
313	21422	19512
314	21493	19446
315	21561	19377
